image_name,number,x,y,left_diam,right_diam,time
mosob01.jpg,1,574,631,4.2,4.1000000000000005,0.004
mosob01.jpg,2,575,630,4.2,4.1000000000000005,0.02
mosob01.jpg,3,577,629,4.3,4.1000000000000005,0.037
mosob01.jpg,4,579,630,4.2,4.1000000000000005,0.054
mosob01.jpg,5,581,631,4.2,4.1000000000000005,0.07
mosob01.jpg,6,583,631,4.2,4.1000000000000005,0.087
mosob01.jpg,7,585,631,4.2,4.1000000000000005,0.104
mosob01.jpg,8,586,630,4.2,4.1000000000000005,0.12
mosob01.jpg,9,588,630,4.3,4.1000000000000005,0.137
mosob01.jpg,10,589,629,4.4,4.1000000000000005,0.154
mosob01.jpg,11,592,629,4.3,4.1000000000000005,0.17
mosob01.jpg,12,593,629,4.3,4.1000000000000005,0.187
mosob01.jpg,13,591,626,4.2,4.1000000000000005,0.204
mosob01.jpg,14,586,622,4.3,4.0,0.22
mosob01.jpg,15,582,616,4.1000000000000005,4.1000000000000005,0.237
mosob01.jpg,16,579,607,4.1000000000000005,4.1000000000000005,0.254
mosob01.jpg,17,578,601,4.1000000000000005,4.2,0.27
mosob01.jpg,18,577,598,4.2,4.2,0.287
mosob01.jpg,19,569,592,4.3,4.3,0.304
mosob01.jpg,20,566,589,4.2,4.3,0.32
mosob01.jpg,21,542,569,4.2,4.1000000000000005,0.337
mosob01.jpg,22,548,579,4.2,4.0,0.354
mosob01.jpg,23,522,556,4.2,4.0,0.37
mosob01.jpg,24,533,568,4.3,4.0,0.387
mosob01.jpg,25,498,537,4.3,4.1000000000000005,0.404
mosob01.jpg,26,315,450,4.3,4.2,0.42
mosob01.jpg,27,308,438,4.2,4.2,0.437
mosob01.jpg,28,287,417,3.9000000000000004,4.1000000000000005,0.454
mosob01.jpg,29,280,413,4.2,4.0,0.47
mosob01.jpg,30,283,420,4.2,4.1000000000000005,0.487
mosob01.jpg,31,289,428,4.2,4.1000000000000005,0.504
mosob01.jpg,32,297,436,4.2,4.2,0.52
mosob01.jpg,33,307,443,4.2,4.1000000000000005,0.537
mosob01.jpg,34,317,449,4.2,4.1000000000000005,0.554
mosob01.jpg,35,334,466,4.3,4.0,0.57
mosob01.jpg,36,347,479,4.4,4.0,0.587
mosob01.jpg,37,348,483,4.4,4.1000000000000005,0.604
mosob01.jpg,38,345,481,4.2,4.0,0.62
